"scale","AL","AT","Av","Reliability"
4.5,0.6700,-9999,-9999,2
32.5,2.7000,0.11,-9999,1
90,0.5000,0.05,0.0022,1
18.3,0.2600,-9999,-9999,2
90,5.3000,-9999,-9999,2
7.1,0.3700,-9999,-9999,2
130,1.0000,0.01,0.004,2
40,3.0000,1.5,-9999,2
212,0.9600,0.018,0.0015,1
266,0.5500,-9999,-9999,1
150,10.5000,-9999,-9999,2
10,1.9000,-9999,-9999,2
350,0.8000,0.3,-9999,2
45,7.0000,-9999,-9999,2
3500,6.0000,-9999,-9999,2
15.5,1.7200,0.0013,-9999,2
25,0.6700,-9999,0.06,2
57,4.0000,0.57,0.06,2
56.4,6.0000,-9999,-9999,2
200,0.4500,0.001,0.0005,1
13.8,1.0600,-9999,-9999,2
8,0.4200,-9999,-9999,2
170,3.6400,-9999,-9999,1
52,6.2500,-9999,-9999,2
110,10.0000,-9999,-9999,"2"
200,7.5000,-9999,-9999,2
164,2.6700,0.75,-9999,2
38.3,4.0000,-9999,-9999,1
57.3,0.7600,0.15,-9999,2
25,1.6000,0.76,-9999,2
16,1.0000,0.1,-9999,1
5.5,0.1800,-9999,-9999,2
1000,3.0000,-9999,0.001,2
5.2,1.2000,-9999,-9999,2
6.5,0.8400,-9999,-9999,2
15,3.7800,-9999,-9999,2
80,5.0000,-9999,-9999,2
15,2.1400,-9999,-9999,2
79.3,1.2000,-9999,-9999,2
19,2.1400,-9999,-9999,1
55,0.6000,-9999,-9999,2
